Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19710813,0,3.6,0,0,40.62,0,35000
19710816,0,3.6,0,0,40.62,0,35000
19710817,0,3.6,0,0,40.62,0,35000
19710818,0,3.6,0,0,40.62,0,35000
19710819,0,3.6,0,0,40.62,0,35000
19710820,0,3.6,0,0,40.62,0,35000
19710823,0,3.6,0,0,40.62,0,35000
19710824,0,3.6,0,0,40.62,0,35000
19710825,0,3.6,0,0,40.62,0,35000
19710826,0,3.6,0,0,40.62,0,35000
19710827,0,3.6,0,0,40.62,0,35000
19710830,0,3.6,0,0,40.62,0,35000
19710831,0,3.6,0,0,40.62,0,35000
19710901,0,3.6,0,0,40.62,0,35000
19710902,0,3.6,0,0,40.62,0,35000
19710903,0,3.6,0,0,40.62,0,35000
19710907,0,3.6,0,0,40.62,0,35000
19710908,0,3.6,0,0,40.62,0,35000
19710909,0,3.6,0,0,40.62,0,35000
19710910,0,3.6,0,0,40.62,0,35000
19710913,0,3.6,0,0,40.62,0,35000
19710914,0,3.6,0,0,40.62,0,35000
19710915,0,3.6,0,0,40.62,0,35000
19710916,0,3.6,0,0,40.62,0,35000
19710917,0,3.6,0,0,40.62,0,35000
19710920,0,3.6,0,0,40.62,0,35000
19710921,0,3.6,0,0,40.62,0,35000
19710922,0,3.6,0,0,40.62,0,35000
19710923,0,3.6,0,0,40.62,0,35000
19710924,0,3.6,0,0,40.62,0,35000
19710927,0,3.6,0,0,40.62,0,35000
19710928,0,3.6,0,0,40.62,0,35000
19710929,0,3.6,0,0,40.62,0,35000
19710930,0,3.6,0,0,40.62,0,35000
19711001,0,3.6,0,0,40.62,0,35000
19711004,0,3.6,0,0,40.62,0,35000
19711005,0,3.6,0,0,40.62,0,35000
19711006,0,3.6,0,0,40.62,0,35000
19711007,0,3.6,0,0,40.62,0,35000
19711008,0,3.6,0,0,40.62,0,35000
19711011,0,3.6,0,0,40.62,0,35000
19711012,0,3.6,0,0,40.62,0,35000
19711013,0,3.6,0,0,40.62,0,35000
19711014,0,3.6,0,0,40.62,0,35000
19711015,0,3.6,0,0,40.62,0,35000
19711018,0,3.6,0,0,40.62,0,35000
19711019,0,3.6,0,0,40.62,0,35000
19711020,0,3.6,0,0,40.62,0,35000
19711021,0,3.6,0,0,40.62,0,35000
19711022,0,3.6,0,0,40.62,0,35000
19711025,0,3.6,0,0,40.62,0,35000
19711026,0,3.6,0,0,40.62,0,35000
19711027,0,3.6,0,0,40.62,0,35000
19711028,0,3.6,0,0,40.62,0,35000
19711029,0,3.6,0,0,40.62,0,35000
19711101,0,3.6,0,0,40.62,0,35000
19711102,0,3.6,0,0,40.62,0,35000
19711103,0,3.6,0,0,40.62,0,35000
19711104,0,3.6,0,0,40.62,0,35000
19711105,0,3.6,0,0,40.62,0,35000
19711108,0,3.6,0,0,40.62,0,35000
19711109,0,3.6,0,0,40.62,0,35000
19711110,0,3.6,0,0,40.62,0,35000
19711111,0,3.6,0,0,40.62,0,35000
19711112,0,3.6,0,0,40.62,0,35000
19711115,0,3.6,0,0,40.62,0,35000
19711116,0,3.6,0,0,40.62,0,35000
19711117,0,3.6,0,0,40.62,0,35000
19711118,0,3.6,0,0,40.62,0,35000
19711119,0,3.6,0,0,40.62,0,35000
19711122,0,3.6,0,0,40.62,0,35000
19711123,0,3.6,0,0,40.62,0,35000
19711124,0,3.6,0,0,40.62,0,35000
19711126,0,3.6,0,0,40.62,0,35000
19711129,0,3.6,0,0,40.62,0,35000
19711130,0,3.6,0,0,40.62,0,35000
19711201,0,3.6,0,0,40.62,0,35000
19711202,0,3.6,0,0,40.62,0,35000
19711203,0,3.6,0,0,40.62,0,35000
19711206,0,3.6,0,0,40.62,0,35000
19711207,0,3.6,0,0,40.62,0,35000
19711208,0,3.6,0,0,40.62,0,35000
19711209,0,3.6,0,0,40.62,0,35000
19711210,0,3.6,0,0,40.62,0,35000
19711213,0,3.6,0,0,40.62,0,35000
19711214,0,3.6,0,0,40.62,0,35000
19711215,0,3.6,0,0,40.62,0,35000
19711216,0,3.6,0,0,40.62,0,35000
19711217,0,3.6,0,0,40.62,0,35000
19711220,0,3.6,0,0,40.62,0,35000
19711221,0,3.6,0,0,40.62,0,35000
19711222,0,3.6,0,0,40.62,0,35000
19711223,0,3.6,0,0,40.62,0,35000
19711227,0,3.6,0,0,40.62,0,35000
19711228,0,3.6,0,0,40.62,0,35000
19711229,0,3.6,0,0,40.62,0,35000
19711230,0,3.6,0,0,40.62,0,35000
19711231,0,3.6,0,0,40.62,0,35000
19720103,0,3.6,0,0,58.42,0,35000
19720104,0,3.6,0,0,58.42,0,35000
19720105,0,3.6,0,0,58.42,0,35000
19720106,0,3.6,0,0,58.42,0,35000
19720107,0,3.6,0,0,58.42,0,35000
19720110,0,3.6,0,0,58.42,0,35000
19720111,0,3.6,0,0,58.42,0,35000
19720112,0,3.6,0,0,58.42,0,35000
19720113,0,3.6,0,0,58.42,0,35000
19720114,0,3.6,0,0,58.42,0,35000
19720117,0,3.6,0,0,58.42,0,35000
19720118,0,3.6,0,0,58.42,0,35000
19720119,0,3.6,0,0,58.42,0,35000
19720120,0,3.6,0,0,58.42,0,35000
19720121,0,3.6,0,0,58.42,0,35000
19720124,0,3.6,0,0,58.42,0,35000
19720125,0,3.6,0,0,58.42,0,35000
19720126,0,3.6,0,0,58.42,0,35000
19720127,0,3.6,0,0,58.42,0,35000
19720128,0,3.6,0,0,58.42,0,35000
19720131,0,3.6,0,0,58.42,0,35000
19720201,0,3.6,0,0,58.42,0,35000
19720202,0,3.6,0,0,58.42,0,35000
19720203,0,3.6,0,0,58.42,0,35000
19720204,0,3.6,0,0,58.42,0,35000
19720207,0,3.6,0,0,58.42,0,35000
19720208,0,3.6,0,0,58.42,0,35000
19720209,0,3.6,0,0,58.42,0,35000
19720210,0,3.6,0,0,58.42,0,35000
19720211,0,3.6,0,0,58.42,0,35000
19720214,0,3.6,0,0,58.42,0,35000
19720215,0,3.6,0,0,58.42,0,35000
19720216,0,3.6,0,0,58.42,0,35000
19720217,0,3.6,0,0,58.42,0,35000
19720218,0,3.6,0,0,58.42,0,35000
19720222,0,3.6,0,0,58.42,0,35000
19720223,0,3.6,0,0,58.42,0,35000
19720224,0,3.6,0,0,58.42,0,35000
19720225,0,3.6,0,0,58.42,0,35000
19720228,0,3.6,0,0,58.42,0,35000
19720229,0,3.6,0,0,58.42,0,35000
19720301,0,3.6,0,0,58.42,0,35000
19720302,0,3.6,0,0,58.42,0,35000
19720303,0,3.6,0,0,58.42,0,35000
19720306,0,3.6,0,0,58.42,0,35000
19720307,0,3.6,0,0,58.42,0,35000
19720308,0,3.6,0,0,58.42,0,35000
19720309,0,3.6,0,0,58.42,0,35000
19720310,0,3.6,0,0,58.42,0,35000
19720313,0,3.6,0,0,58.42,0,35000
19720314,0,3.6,0,0,58.42,0,35000
19720315,0,3.6,0,0,58.42,0,35000
19720316,0,3.6,0,0,58.42,0,35000
19720317,0,3.6,0,0,58.42,0,35000
19720320,0,3.6,0,0,58.42,0,35000
19720321,0,3.6,0,0,58.42,0,35000
19720322,0,3.6,0,0,58.42,0,35000
19720323,0,3.6,0,0,58.42,0,35000
19720324,0,3.6,0,0,58.42,0,35000
19720327,0,3.6,0,0,58.42,0,35000
19720328,0,3.6,0,0,58.42,0,35000
19720329,0,3.6,0,0,58.42,0,35000
19720330,0,3.6,0,0,58.42,0,35000
19720403,0,3.6,0,0,58.42,0,35000
19720404,0,3.6,0,0,58.42,0,35000
19720405,0,3.6,0,0,58.42,0,35000
19720406,0,3.6,0,0,58.42,0,35000
19720407,0,3.6,0,0,58.42,0,35000
19720410,0,3.6,0,0,58.42,0,35000
19720411,0,3.6,0,0,58.42,0,35000
19720412,0,3.6,0,0,58.42,0,35000
19720413,0,3.6,0,0,58.42,0,35000
19720414,0,3.6,0,0,58.42,0,35000
19720417,0,3.6,0,0,58.42,0,35000
19720418,0,3.6,0,0,58.42,0,35000
19720419,0,3.6,0,0,58.42,0,35000
19720420,0,3.6,0,0,58.42,0,35000
19720421,0,3.6,0,0,58.42,0,35000
19720424,0,3.6,0,0,58.42,0,35000
19720425,0,3.6,0,0,58.42,0,35000
19720426,0,3.6,0,0,58.42,0,35000
19720427,0,3.6,0,0,58.42,0,35000
19720428,0,3.6,0,0,58.42,0,35000
19720501,0,3.6,0,0,58.42,0,35000
19720502,0,3.6,0,0,58.42,0,35000
19720503,0,3.6,0,0,58.42,0,35000
19720504,0,3.6,0,0,58.42,0,35000
19720505,0,3.6,0,0,58.42,0,35000
19720508,0,3.6,0,0,58.42,0,35000
19720509,0,3.6,0,0,58.42,0,35000
19720510,0,3.6,0,0,58.42,0,35000
19720511,0,3.6,0,0,58.42,0,35000
19720512,0,3.6,0,0,58.42,0,35000
